iter	Passed	Remaining
0	0	55
1	0	42
2	1	38
3	1	34
4	2	40
5	2	39
6	2	38
7	3	38
8	5	51
9	6	58
10	7	62
11	8	63
12	9	63
13	10	64
14	12	71
15	13	69
16	14	69
17	14	67
18	15	64
19	15	62
20	15	59
21	16	57
22	16	55
23	16	53
24	17	51
25	17	49
26	17	48
27	18	46
28	18	44
29	18	43
30	18	42
31	19	41
32	19	39
33	19	38
34	20	37
35	20	36
36	20	35
37	21	34
38	21	33
39	21	32
40	22	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	23	26
47	24	26
48	24	25
49	24	24
50	25	24
51	25	23
52	25	22
53	25	22
54	26	21
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	28	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	11
73	32	11
74	33	11
75	33	10
76	33	10
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	37	3
91	38	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
