iter	Passed	Remaining
0	53	53118
1	54	27001
2	55	18468
3	56	14070
4	57	11406
5	59	9851
6	60	8586
7	61	7667
8	62	6897
9	63	6332
10	65	5852
11	65	5428
12	66	5071
13	67	4779
14	68	4508
15	70	4310
16	73	4259
17	74	4074
18	75	3913
19	76	3772
20	78	3649
21	79	3551
22	81	3454
23	81	3332
24	83	3242
25	83	3145
26	84	3048
27	85	2966
28	86	2890
29	87	2824
30	88	2757
31	88	2688
32	90	2643
33	91	2590
34	92	2536
35	93	2492
36	94	2446
37	95	2409
38	96	2366
39	96	2326
40	97	2290
41	98	2251
42	99	2211
43	100	2173
44	100	2143
45	101	2106
46	102	2073
47	102	2038
48	103	2007
49	104	1981
50	105	1957
51	105	1931
52	106	1908
53	107	1881
54	108	1856
55	108	1833
56	109	1808
57	110	1788
58	110	1767
59	111	1745
60	112	1727
61	112	1707
62	113	1685
63	114	1669
64	115	1655
65	116	1643
66	116	1628
67	117	1611
68	118	1600
69	119	1586
70	120	1573
71	121	1561
72	121	1548
73	122	1537
74	123	1525
75	124	1513
76	125	1500
77	125	1488
78	126	1479
79	127	1470
80	128	1458
81	129	1449
82	130	1437
83	130	1427
84	131	1418
85	132	1407
86	133	1396
87	133	1385
88	134	1374
89	134	1364
90	135	1354
91	136	1346
92	137	1338
93	139	1341
94	140	1336
95	140	1327
96	141	1318
97	142	1310
98	142	1301
99	143	1294
100	144	1285
101	144	1275
102	145	1267
103	146	1259
104	146	1252
105	147	1244
106	148	1237
107	148	1229
108	149	1220
109	150	1213
110	150	1206
111	151	1201
112	152	1195
113	153	1189
114	153	1183
115	154	1179
116	155	1170
117	156	1166
118	156	1162
119	157	1157
120	158	1151
121	159	1144
122	159	1140
123	160	1135
124	161	1130
125	162	1125
126	163	1122
127	164	1118
128	165	1115
129	166	1112
130	167	1107
131	167	1103
132	168	1098
133	169	1094
134	170	1091
135	171	1087
136	172	1085
137	173	1081
138	174	1078
139	175	1075
140	175	1070
141	176	1063
142	176	1058
143	177	1055
144	178	1052
145	179	1048
146	179	1044
147	181	1044
148	182	1040
149	183	1040
150	184	1036
151	185	1032
152	185	1029
153	186	1026
154	187	1023
155	188	1018
156	189	1016
157	190	1012
158	190	1009
159	191	1006
160	192	1000
161	192	997
162	193	994
163	194	991
164	195	988
165	196	985
166	197	983
167	197	980
168	198	978
169	199	975
170	200	972
171	201	969
172	202	965
173	202	962
174	203	959
175	204	955
176	204	952
177	205	949
178	206	947
179	207	944
180	208	942
181	208	938
182	209	935
183	210	933
184	211	929
185	211	926
186	212	922
187	212	919
188	213	917
189	214	915
190	215	912
191	216	909
192	216	906
193	217	902
194	217	898
195	218	896
196	219	894
197	220	891
198	220	888
199	221	885
200	221	882
201	222	879
202	223	877
203	224	875
204	225	872
205	225	870
206	226	867
207	226	863
208	227	860
209	228	857
210	228	854
211	229	851
212	229	848
213	230	846
214	230	843
215	231	842
216	232	839
217	233	836
218	233	834
219	234	830
220	235	828
221	235	825
222	236	824
223	237	822
224	238	820
225	238	818
226	239	816
227	240	814
228	241	813
229	242	812
230	243	810
231	244	808
232	244	806
233	245	804
234	246	801
235	247	799
236	247	797
237	248	795
238	249	793
239	250	791
240	250	789
241	251	788
242	252	786
243	253	784
244	254	783
245	254	781
246	255	779
247	256	776
248	257	775
249	257	773
250	258	771
251	259	769
252	260	767
253	260	766
254	261	764
255	262	761
256	262	760
257	263	758
258	264	756
259	265	754
260	265	753
261	266	751
262	267	748
263	267	747
264	268	745
265	269	743
266	270	742
267	271	741
268	272	739
269	273	738
270	273	735
271	274	734
272	275	734
273	276	732
274	277	732
275	278	730
276	280	732
277	281	731
278	282	730
279	284	730
280	285	729
281	285	727
282	286	726
283	287	725
284	288	723
285	289	721
286	289	720
287	290	719
288	292	719
289	293	717
290	293	715
291	294	713
292	295	712
293	296	710
294	296	709
295	297	707
296	298	706
297	299	705
298	300	703
299	301	703
300	302	701
301	302	700
302	303	698
303	304	697
304	305	695
305	306	694
306	307	693
307	307	691
308	308	690
309	309	688
310	310	687
311	311	686
312	311	684
313	312	682
314	313	681
315	313	679
316	314	677
317	315	675
318	315	673
319	316	672
320	317	671
321	318	669
322	318	668
323	319	667
324	320	665
325	321	664
326	321	662
327	322	661
328	323	659
329	324	658
330	325	657
331	326	656
332	327	655
333	328	654
334	328	653
335	329	651
336	330	650
337	336	659
338	337	657
339	338	656
340	338	654
341	339	652
342	340	651
343	340	649
344	341	647
345	341	646
346	342	644
347	343	642
348	343	641
349	344	639
350	345	638
351	346	637
352	346	635
353	347	634
354	348	632
355	348	630
356	349	628
357	349	627
358	350	625
359	350	623
360	351	622
361	352	620
362	352	618
363	353	616
364	353	615
365	354	614
366	355	612
367	355	610
368	356	609
369	356	607
370	357	605
371	357	603
372	358	602
373	358	600
374	359	598
375	359	597
376	360	595
377	361	594
378	362	593
379	362	592
380	363	590
381	364	589
382	364	587
383	365	585
384	365	584
385	366	582
386	366	581
387	367	579
388	368	578
389	368	576
390	369	575
391	370	573
392	370	572
393	371	571
394	372	570
395	373	569
396	373	567
397	374	566
398	375	565
399	375	563
400	376	562
401	377	561
402	378	560
403	378	558
404	379	557
405	381	557
406	381	556
407	382	555
408	383	554
409	384	552
410	384	551
411	385	549
412	386	548
413	386	547
414	387	546
415	388	545
416	389	543
417	390	543
418	390	541
419	390	539
420	391	538
421	392	536
422	392	535
423	393	533
424	393	532
425	394	530
426	394	529
427	395	527
428	395	526
429	396	525
430	396	523
431	397	522
432	398	521
433	399	520
434	399	519
435	400	518
436	401	516
437	401	515
438	402	514
439	402	512
440	403	511
441	404	510
442	404	508
443	405	507
444	405	506
445	406	505
446	407	504
447	408	503
448	408	501
449	409	500
450	409	498
451	410	497
452	411	496
453	412	495
454	412	494
455	413	493
456	414	492
457	415	491
458	416	490
459	417	489
460	417	488
461	418	487
462	419	486
463	420	485
464	420	484
465	421	483
466	422	482
467	423	481
468	424	480
469	424	479
470	425	478
471	426	477
472	426	475
473	427	474
474	428	473
475	428	471
476	429	470
477	429	469
478	430	468
479	430	466
480	431	465
481	432	464
482	433	463
483	433	462
484	434	461
485	435	460
486	435	459
487	436	457
488	436	456
489	437	455
490	438	454
491	438	452
492	439	451
493	439	450
494	440	449
495	441	448
496	441	447
497	442	446
498	443	445
499	443	443
500	444	442
501	444	441
502	445	440
503	446	439
504	446	437
505	447	436
506	447	435
507	448	434
508	449	433
509	449	431
510	450	431
511	451	429
512	451	428
513	452	427
514	452	426
515	453	424
516	453	423
517	454	422
518	454	421
519	455	420
520	456	419
521	457	418
522	457	417
523	458	416
524	459	415
525	460	414
526	461	413
527	461	412
528	462	411
529	463	410
530	464	410
531	465	409
532	465	408
533	466	407
534	467	406
535	468	405
536	468	404
537	469	403
538	470	402
539	470	401
540	471	400
541	472	399
542	473	398
543	474	397
544	474	396
545	475	395
546	476	394
547	477	393
548	478	392
549	479	392
550	479	391
551	480	389
552	481	388
553	481	387
554	482	386
555	483	385
556	483	384
557	484	383
558	485	382
559	486	382
560	487	381
561	487	380
562	488	379
563	489	378
564	490	377
565	491	376
566	492	375
567	493	374
568	493	374
569	494	373
570	496	372
571	496	371
572	497	370
573	498	369
574	499	369
575	500	368
576	501	367
577	501	366
578	502	365
579	502	364
580	504	363
581	504	362
582	509	364
583	510	363
584	510	362
585	511	361
586	512	360
587	513	360
588	514	359
589	515	358
590	516	357
591	517	356
592	518	355
593	522	356
594	522	355
595	523	355
596	524	354
597	525	353
598	526	352
599	527	351
600	527	350
601	528	349
602	529	348
603	530	347
604	532	347
605	533	346
606	534	346
607	535	345
608	536	344
609	536	343
610	537	342
611	539	341
612	540	340
613	540	339
614	541	338
615	541	337
616	542	336
617	542	335
618	543	334
619	543	333
620	544	332
621	544	331
622	545	330
623	546	329
624	547	328
625	548	327
626	549	326
627	550	326
628	551	325
629	552	324
630	552	323
631	553	322
632	554	321
633	554	320
634	555	319
635	555	318
636	556	317
637	556	316
638	558	315
639	558	314
640	559	313
641	560	312
642	561	311
643	562	310
644	562	309
645	563	308
646	564	308
647	565	307
648	566	306
649	567	305
650	568	304
651	569	304
652	570	303
653	571	302
654	571	301
655	572	300
656	573	299
657	574	298
658	575	297
659	576	296
660	576	295
661	577	294
662	578	293
663	578	292
664	579	291
665	579	290
666	580	289
667	581	288
668	581	287
669	582	286
670	583	285
671	584	285
672	584	284
673	585	283
674	586	282
675	586	281
676	587	280
677	588	279
678	589	278
679	589	277
680	591	276
681	592	276
682	593	275
683	594	274
684	595	273
685	596	272
686	596	271
687	598	271
688	599	270
689	602	270
690	603	269
691	604	269
692	605	268
693	606	267
694	607	266
695	608	265
696	609	264
697	610	264
698	611	263
699	612	262
700	613	261
701	614	260
702	615	259
703	616	259
704	616	258
705	619	257
706	619	256
707	620	256
708	621	255
709	622	254
710	622	253
